Field,Plot,WAT,Enclosure_Height,Treatment
1,1,1,24,0
1,1,1,19,0
1,1,1,27.5,0
1,2,1,18.5,1
1,2,1,21,1
1,2,1,26,1
1,3,1,19,0
1,3,1,22,0
1,3,1,23,0
1,4,1,17,1
1,4,1,20,1
1,4,1,16,1
1,5,1,16,1
1,5,1,18,1
1,5,1,21,1
1,6,1,20,0
1,6,1,13.5,0
1,6,1,23,0
2,7,1,17,1
2,7,1,21,1
2,7,1,14.5,1
2,8,1,15.5,0
2,8,1,18,0
2,8,1,19.5,0
2,9,1,15,0
2,9,1,19,0
2,9,1,15.5,0
3,10,1,11,1
3,10,1,18.5,1
3,10,1,20,1
3,11,1,15,0
3,11,1,14,0
3,11,1,19,0
3,12,1,20,0
3,12,1,18,0
3,12,1,13.5,0
3,13,1,15,0
3,13,1,15,0
3,13,1,18,0
3,14,1,18,1
3,14,1,23,1
3,14,1,13.5,1
3,15,1,15,1
3,15,1,12.5,1
3,15,1,12,1
3,16,1,15,0
3,16,1,15,0
3,16,1,12,0
3,17,1,17,1
3,17,1,15,1
3,17,1,14,1
3,18,1,15,1
3,18,1,18,1
3,18,1,21,1
3,19,1,14,0
3,19,1,17,0
3,19,1,11,0
2,20,1,17,1
2,20,1,18,1
2,20,1,13,1
1,1,2,29,0
1,1,2,22,0
1,1,2,34,0
1,2,2,22,1
1,2,2,28.5,1
1,2,2,32.5,1
1,3,2,22.5,0
1,3,2,25.5,0
1,3,2,24.5,0
1,4,2,34,1
1,4,2,29,1
1,4,2,21,1
1,5,2,24,1
1,5,2,28,1
1,5,2,25,1
1,6,2,27,0
1,6,2,16,0
1,6,2,31.5,0
2,7,2,20,1
2,7,2,20.5,1
2,7,2,18.5,1
2,8,2,22,0
2,8,2,21,0
2,8,2,25,0
2,9,2,24.5,0
2,9,2,23,0
2,9,2,15,0
3,10,2,13,1
3,10,2,24,1
3,10,2,13,1
3,11,2,15,0
3,11,2,20,0
3,11,2,24,0
3,12,2,29,0
3,12,2,25,0
3,12,2,20,0
3,13,2,23,0
3,13,2,22,0
3,13,2,18,0
3,14,2,23,1
3,14,2,20,1
3,14,2,18,1
3,15,2,22.5,1
3,15,2,16,1
3,15,2,15,1
3,16,2,20,0
3,16,2,20,0
3,16,2,15.5,0
3,17,2,19.5,1
3,17,2,19,1
3,17,2,15.5,1
3,18,2,22,1
3,18,2,19,1
3,18,2,24.5,1
3,19,2,20,0
3,19,2,23,0
3,19,2,19.5,0
2,20,2,22,1
2,20,2,21,1
2,20,2,19,1
1,1,3,31.5,0
1,1,3,27,0
1,1,3,43,0
1,2,3,31,1
1,2,3,30,1
1,2,3,40,1
1,3,3,29,0
1,3,3,32,0
1,3,3,34,0
1,4,3,43,1
1,4,3,37,1
1,4,3,26,1
1,5,3,28,1
1,5,3,25,1
1,5,3,32,1
1,6,3,40,0
1,6,3,20,0
1,6,3,33,0
2,7,3,26,1
2,7,3,30,1
2,7,3,19,1
2,8,3,26,0
2,8,3,19,0
2,8,3,28,0
2,9,3,27,0
2,9,3,30,0
2,9,3,36,0
3,10,3,25,1
3,10,3,29,1
3,10,3,27,1
3,11,3,31,0
3,11,3,28,0
3,11,3,32,0
3,12,3,35,0
3,12,3,32,0
3,12,3,27,0
3,13,3,24,0
3,13,3,23,0
3,13,3,28,0
3,14,3,27,1
3,14,3,32,1
3,14,3,21.5,1
3,15,3,24,1
3,15,3,24,1
3,15,3,28,1
3,16,3,26,0
3,16,3,25,0
3,16,3,21,0
3,17,3,26,1
3,17,3,25,1
3,17,3,21,1
3,18,3,30,1
3,18,3,29,1
3,18,3,33,1
3,19,3,28,0
3,19,3,28,0
3,19,3,26,0
2,20,3,23,1
2,20,3,26,1
2,20,3,23,1
1,1,4,37,0
1,1,4,29.5,0
1,1,4,48,0
1,2,4,36,1
1,2,4,46.5,1
1,2,4,57,1
1,3,4,28,0
1,3,4,42,0
1,3,4,43.5,0
1,4,4,53,1
1,4,4,48,1
1,4,4,30,1
1,5,4,42,1
1,5,4,34,1
1,5,4,35.5,1
1,6,4,45,0
1,6,4,23,0
1,6,4,49,0
2,7,4,37,1
2,7,4,39,1
2,7,4,30,1
2,8,4,40,0
2,8,4,30,0
2,8,4,41,0
2,9,4,36,0
2,9,4,42,0
2,9,4,43,0
3,10,4,33,1
3,10,4,42,1
3,10,4,40,1
3,11,4,44,0
3,11,4,35,0
3,11,4,48,0
3,12,4,55.5,0
3,12,4,48,0
3,12,4,38,0
3,13,4,45.5,0
3,13,4,48,0
3,13,4,40,0
3,14,4,40,1
3,14,4,44,1
3,14,4,30,1
3,15,4,32,1
3,15,4,34,1
3,15,4,28,1
3,16,4,38,0
3,16,4,40,0
3,16,4,30,0
3,17,4,32.5,1
3,17,4,32,1
3,17,4,26,1
3,18,4,43.5,1
3,18,4,34,1
3,18,4,33,1
3,19,4,36,0
3,19,4,42,0
3,19,4,37,0
2,20,4,40,1
2,20,4,38,1
2,20,4,39,1
